a	一；一个；每一；任一
instrument	器械；仪器；工具；乐器；器械；仪器；工具；乐器；器械；仪器；工具；乐器
insurance	保险；保险业；保险费；保险措施；保险；保险业；保险费；保险；保险业；保险费；保险
intellectual	智力的；理智的；有才智的；知识分子；脑力劳动者；智力的；理智的；知识分子；智力的
intelligence	智力；智慧；才智；情报；情报人员；智力；智慧；才智；情报；情报人员；智力
intend	想要；打算；计划；意指；意思是；想要；打算；计划；意指；想要；打算；计划；想要
intense	强烈的；剧烈的；紧张的；激烈的；热情的；热烈的；强烈的；剧烈的；紧张的；激烈的
intensity	强度；强烈；剧烈；紧张；强度；强烈；剧烈；紧张；强度；强烈；剧烈；紧张
intention	意图；目的；意向；打算；意图；目的；意向；打算；意图；目的；意向；打算
interaction	相互作用；相互影响；互动；交流；相互作用；相互影响；互动；交流；相互作用；相互影响
interest	兴趣；爱好；关注；利息；利益；好处；使感兴趣；使关心；兴趣；爱好；关注；利息；利益
interested	感兴趣的；关心的；感兴趣的；关心的；感兴趣的；关心的；感兴趣的；关心的；感兴趣的
interesting	有趣的；引起兴趣的；有趣的；吸引人的；有趣的；引起兴趣的；有趣的；有趣的；有趣的
internal	内部的；国内的；内心的；内部；内脏；内部的；国内的；内部的；国内的；内部；内心的
international	国际的；国际性的；国际比赛；世界各国；国际的；国际性的；国际的；国际性的；国际
Internet	互联网；因特网；网络；互联网；因特网；网络；互联网；因特网；网络；互联网；因特网
interpret	解释；说明；翻译；口译；解释；说明；翻译；口译；解释；说明；翻译；口译；解释
interpretation	解释；说明；理解；翻译；口译；解释；说明；理解；翻译；解释；说明；理解；翻译
intervention	干预；干涉；介入；调解；干预；干涉；介入；调解；干预；干涉；介入；干预；干涉
interview	采访；访谈；面试；访问；采访；访谈；面试；访问；采访；访谈；面试；访问
into	到…里；进入；成为；转为；到…里；进入；成为；转为；到…里；进入；成为；进入
introduce	介绍；引见；引进；引入；提出；提出；介绍；引见；引进；引入；介绍；引见；引入
introduction	介绍；引言；导论；序言；引进；传入；介绍；引言；导论；序言；介绍；引言；引进
invasion	入侵；侵略；闯入；侵犯；入侵；侵略；闯入；侵犯；入侵；侵略；入侵；侵略
invest	投资；投入；授予；赋予；投资；投入；投资；投入；赋予；授予；投资；投入
investigate	调查；研究；侦查；调查；研究；侦查；调查；研究；侦查；调查；研究；调查；研究
investigation	调查；研究；侦查；调查；研究；侦查；调查；研究；侦查；调查；研究；调查；研究
investigator	调查者；研究者；侦查员；调查人员；调查者；研究者；侦查员；调查者；研究者；调查员；调查者
investment	投资；投资额；投资物；投资；投资额；投资物；投资；投资额；投资物；投资；投资额
investor	投资者；投资人；投资者；投资人；投资者；投资人；投资者；投资人；投资者；投资人；投资者
invite	邀请；招待；招致；引起；吸引；诱惑；邀请；招待；招致；引起；邀请；招待；招致
involve	涉及；包含；牵涉；卷入；参与；使参与；需要；包含；涉及；牵涉；卷入；参与；需要
involved	参与的；有关的；卷入的；复杂的；有关的；涉及的；参与的；卷入的；复杂的；有关的
involvement	参与；卷入；牵连；参与；卷入；牵连；参与；卷入；牵连；参与；卷入；牵连；参与
Iraqi	伊拉克的；伊拉克人的；伊拉克人；伊拉克的；伊拉克人的；伊拉克人；伊拉克的；伊拉克人的；伊拉克人
Irish	爱尔兰的；爱尔兰人的；爱尔兰语的；爱尔兰人；爱尔兰语；爱尔兰的；爱尔兰人的；爱尔兰人；爱尔兰的
iron	铁；熨斗；铁器；铁制品；熨；烫；坚强的；冷酷的；铁；熨斗；铁器；铁；熨斗
Islamic	伊斯兰教的；伊斯兰的；穆斯林的；伊斯兰教的；伊斯兰的；伊斯兰教的；伊斯兰的；伊斯兰教的；伊斯兰的
island	岛屿；岛；使孤立；使隔离；岛；岛屿；岛；岛屿；岛；岛屿；岛；岛屿
Israeli	以色列的；以色列人的；以色列人；以色列的；以色列人的；以色列人；以色列的；以色列人的；以色列人
issue	问题；议题；发行；发布；流出；放出；发行；发布；问题；议题；发行；发布；问题
it	它；这；那；（指代事物）它；（指代动物）它；（指代婴儿）它；（指代时间、距离、天气等）它；它；这；那；它
Italian	意大利的；意大利人的；意大利语的；意大利人；意大利语；意大利的；意大利人的；意大利语的；意大利人
item	项目；条款；一件商品；一件物品；项目；条款；物品；项目；条款；物品；项目；条款；物品
its	它的；（it的所有格）它的；它的；它的；它的；它的；它的；它的；它的；它的；它的
itself	它自己；它本身；它自己；它本身；它自己；它本身；它自己；它本身；它自己；它本身
jacket	夹克；短上衣；外皮；护套；给…穿夹克；给…装护套；夹克；短上衣；外套；夹克衫
jail	监狱；看守所；监禁；拘留；监狱；看守所；监狱；看守所；监狱；看守所；监狱；看守所
Japanese	日本的；日本人的；日语的；日本人；日语；日本的；日本人的；日语的；日本人；日本的
jet	喷气式飞机；喷射；喷射流；迅速移动；快速旅行；喷气式飞机；喷射；喷射；喷气式飞机；喷气机
Jew	犹太人；犹太教徒；犹太人；犹太教徒；犹太人；犹太教徒；犹太人；犹太教徒；犹太人；犹太教徒
Jewish	犹太人的；犹太教的；犹太人的；犹太教的；犹太人的；犹太教的；犹太人的；犹太教的；犹太的
job	工作；职业；职位；任务；活儿；工作；职业；职位；任务；工作；职业；职位；任务
join	加入；参加；连接；接合；会合；联合；加入；参加；连接；加入；参加；连接；加入
joint	连接的；共同的；联合的；关节；接合处；连接处；共同的；联合的；关节；连接点
joke	笑话；玩笑；玩笑；笑话；笑话；玩笑；开玩笑；说笑话；捉弄；笑话；玩笑；笑话
journal	期刊；杂志；日志；日记；日报；期刊；杂志；日志；日记；期刊；杂志；日报
journalist	新闻工作者；记者；新闻记者；新闻工作者；记者；新闻记者；新闻工作者；记者；新闻记者；新闻工作者
journey	旅行；旅程；行程；旅行；游历；旅行；旅程；行程；旅行；旅程；行程；旅行
joy	快乐；喜悦；欢乐；乐事；乐趣；快乐；喜悦；欢乐；乐事；乐趣；快乐；喜悦；欢乐
judge	法官；审判员；裁判员；评判员；判断；评判；裁决；法官；审判员；裁判员；评判员；判断；评判
judgment	判断；裁决；审判；判决；意见；看法；判断；裁决；审判；判决；意见；看法；判断
juice	果汁；菜汁；汁液；液；果汁；菜汁；汁液；果汁；菜汁；果汁；果汁；菜汁
jump	跳；跳跃；猛涨；激增；跳；跳跃；跳；跳跃；猛涨；激增；跳；跳跃；跳
junior	年少的；较年幼的；低年级的；资历较浅的；年少者；晚辈；下级；年少的；年幼的；低年级的
jury	陪审团；评奖团；评判委员会；陪审团；评判团；评判委员会；陪审团；评判团；陪审团；评判团
just	正好；恰好；刚刚；刚才；仅仅；只是；公平的；公正的；正义的；正当的；公正的；公平的
justice	正义；公正；公平；司法；审判；正义；公正；公平；司法；审判；正义；公正；司法
justify	证明…是正当的；为…辩护；证明…有理；证明…是正当的；为…辩护；证明…有理；证明…是正当的
keep	保持；维持；继续；保留；保存；保管；遵守；履行；记录；记；保持；维持；继续；保留
key	钥匙；键；答案；关键；重要的；主要的；关键的；钥匙；键；答案；关键；钥匙；键；答案
kick	踢；蹬；踢中；踹；踢；踢腿；踢球；踢；踢；踢；踢；踢；踢；踢
kid	小孩；儿童；年轻人；欺骗；戏弄；哄骗；小孩；儿童；年轻人；小孩；儿童；年轻人；小孩
kill	杀死；弄死；扼杀；终止；使停止；消磨；抵消；杀死；弄死；扼杀；终止；杀死；弄死；扼杀
killer	杀手；凶手；杀人者；杀手；凶手；杀人者；杀手；凶手；杀人者；杀手；凶手；杀人者
killing	杀戮；屠杀；致死；杀戮；屠杀；屠杀；杀戮；致死；杀戮；屠杀；致死；杀戮；屠杀
kind	种类；类型；友好的；亲切的；和蔼的；仁慈的；种类；类型；友好的；亲切的；和蔼的
king	国王；君主；大王；巨头；国王；君主；大王；巨头；国王；君主；国王；国王；君主
kiss	吻；接吻；轻触；轻拂；吻；接吻；吻；接吻；轻触；吻；接吻；吻
kitchen	厨房；炊事员；厨房；厨房；厨房；厨房；厨房；厨房；厨房；厨房；厨房
knee	膝盖；膝关节；膝；膝盖；膝；膝盖；膝；膝盖；膝；膝盖；膝；膝盖
knife	刀；小刀；菜刀；用刀切；用刀刺；刀；小刀；刀；小刀；菜刀；刀；小刀；刀
knock	敲；击；撞；打；敲击声；碰撞声；敲；击；撞；打；敲；击；撞；打；敲；击
know	知道；了解；认识；识别；经历；体验；知道；了解；认识；识别；知道；了解；认识
knowledge	知识；学问；学识；知道；了解；知识；学问；学识；知识；学问；学识；知识；学问
lab	实验室；研究室；实验室；研究室；实验室；研究室；实验室；研究室；实验室；研究室
label	标签；标记；贴标签于；把…称为；标签；标记；标签；标记；标签；标记；标签；标记
labor	劳动；工作；劳工；分娩；阵痛；劳动；工作；努力；苦干；劳动；工作；劳工；劳动
laboratory	实验室；研究室；实验室；研究室；实验室；研究室；实验室；研究室；实验室；研究室；实验室
lack	缺乏；缺少；不足；没有；缺乏；缺少；不足；缺乏；缺少；不足；缺乏；缺少；不足
lady	女士；夫人；小姐；女士；夫人；小姐；女士；夫人；小姐；女士；夫人；小姐；女士
lake	湖；湖泊；湖；湖泊；湖；湖泊；湖；湖泊；湖；湖泊；湖；湖泊
land	陆地；土地；国家；国土；使着陆；使登陆；着陆；登陆；降落；土地；陆地；国家
landscape	风景；景色；地貌；地形；对…做景观美化；美化；风景；景色；景观；风景；景色；景观
language	语言；语言文字；表达法；语言；语言文字；语言；语言；语言文字；语言；语言；语言
lap	大腿上部；膝；一圈；舔；舔食；轻拍；拍打；大腿；膝；一圈；舔食；轻拍；一圈
large	大的；巨大的；大量的；大型的；大；大大地；夸大地；大的；巨大的；大的；大量的
largely	主要地；大部分地；大体上；主要地；大部分地；大体上；主要地；大部分地；主要地；大体上
last	最后的；最近的；最后的；最后；最近一次；上一次；最后的；最近的；最后的；上一次的
late	迟的；晚的；晚期的；新近的；已故的；迟；晚；迟；晚；迟的；晚的；迟；晚
later	后来；以后；随后；较晚的；更后的；后来；以后；随后；后来；以后；随后；后来；以后
Latin	拉丁的；拉丁语的；拉丁人的；拉丁语；拉丁人；拉丁的；拉丁语的；拉丁语；拉丁的；拉丁语的
latter	后者的；后面的；后半的；后者；后面的；后半的；后者；后者；后者；后者；后面的
laugh	笑；大笑；笑；笑声；笑；大笑；笑；笑声；笑；大笑；笑；笑声；笑
launch	发射；发起；开展；开始；发动；发动；发起；发射；发起；开始；发动；发起；开始
law	法律；法规；法则；定律；规律；法律；法规；法则；定律；规律；法律；法规；法律
lawn	草坪；草地；草坪；草地；草坪；草地；草坪；草地；草坪；草地；草坪；草地
lawsuit	诉讼；官司；诉讼；官司；诉讼；官司；诉讼；官司；诉讼；官司；诉讼；官司
lawyer	律师；法学家；律师；法学家；律师；法学家；律师；法学家；律师；法学家；律师
lay	放置；放下；铺设；产；下蛋；铺；铺放；世俗的；外行的；放置；放下；铺设；产卵
layer	层；层次；层；层次；层；层次；层；层次；层；层次；层；层次
lead	领导；引导；导致；通向；铅；领导；引导；导致；通向；领导；引导；导致
leader	领导者；领袖；首领；领导人；领袖；首领；领导人；领导者；领袖；首领；领导人
leadership	领导；领导能力；领导阶层；领导；领导能力；领导阶层；领导；领导能力；领导阶层；领导
leading	主要的；最重要的；领先的；第一位的；主要的；最重要的；领先的；主要的；最重要的
leaf	叶子；树叶；页；张；叶子；树叶；页；张；叶子；树叶；页；张
league	同盟；联盟；社团；联合会；结盟；联合；同盟；联盟；社团；联合会；同盟；联盟
lean	倾斜；倚靠；屈身；瘦的；贫瘠的；倾斜；倚靠；屈身；倚靠；倾斜；屈身；瘦的
learn	学习；学会；得知；获悉；学习；学会；得知；获悉；学习；学会；得知；学习
learning	学习；学问；知识；学习；学问；知识；学习；学问；知识；学习；学问；知识
least	最少的；最小的；最少；最小；最少的；最小的；最少；最小；最少的；最小的
leather	皮革；皮革制品；皮革；皮革制品；皮革；皮革制品；皮革；皮革制品；皮革；皮革制品；皮革
leave	离开；离去；留下；遗留；听任；让；假期；许可；离开；离去；留下；遗留；休假
left	左边的；左侧的；左边；左侧；向左；左；左边的；左侧的；左边；左侧；左
leg	腿；腿部；腿；腿部；腿；腿部；腿；腿部；腿；腿部；腿；腿部
legacy	遗产；遗赠；传统；遗产；遗赠；传统；遗产；遗赠；传统；遗产；遗赠；传统；遗产
legal	法律的；合法的；法律的；合法的；法律的；合法的；法律的；合法的；法律的；合法的；法律的
legend	传说；传奇；传奇故事；传奇人物；图例；说明；传说；传奇；传奇故事；传奇人物；图例
legislation	立法；法律；法规；立法；法律；法规；立法；法律；法规；立法；法律；法规；立法
legitimate	合法的；正当的；合理的；合法的；正当的；合理的；合法的；正当的；合理的；合法的；正当的
lemon	柠檬；柠檬树；柠檬色；柠檬；柠檬树；柠檬色；柠檬；柠檬树；柠檬色；柠檬；柠檬树；柠檬色
length	长度；长；时间的长短；长度；长；长度；长；长度；长；长度；长
less	较少的；更少的；较小的；更少；较少；较小；较少的；更少的；较小的；更少；较少
lesson	课；课程；教训；课；课程；教训；课；课程；教训；课；课程；教训；课
let	让；允许；出租；让；允许；出租；让；允许；出租；让；允许；出租；让
letter	字母；信；函件；字母；信；函件；字母；信；函件；字母；信；函件；字母
level	水平；等级；级别；水平的；平的；等级；级别；水平；等级；级别；水平
liberal	自由主义的；开明的；慷慨的；宽大的；自由主义者；开明的；慷慨的；自由主义的；开明的
library	图书馆；藏书；图书室；图书馆；藏书；图书室；图书馆；藏书；图书室；图书馆；藏书；图书室；图书馆
license	许可证；执照；特许；许可；发给许可证；许可证；执照；许可；许可证；执照；许可；许可证
lie	躺；位于；说谎；谎言；躺；位于；说谎；谎言；躺；位于；说谎；躺
life	生命；生活；一生；生命；生活；一生；生命；生活；一生；生命；生活；一生；生命
lifestyle	生活方式；生活方式；生活方式；生活方式；生活方式；生活方式；生活方式；生活方式；生活方式
lifetime	一生；终生；终身；一生；终生；终身；一生；终生；终身；一生；终生；终身；一生
lift	举起；抬起；提升；电梯；举起；抬起；提升；举起；抬起；提升；举起；抬起
light	光；光线；灯；灯光；轻的；明亮的；浅色的；点燃；照亮；光；灯；轻的；明亮的
like	喜欢；喜爱；像；如同；类似的；相似的；喜好；爱好；喜欢；喜爱；像；如同；像
likely	可能的；有希望的；可能；或许；可能的；有希望的；可能；或许；可能的；有希望的；可能
limit	限制；限定；限度；界限；限制；限定；限度；界限；限制；限定；限度；界限
limitation	限制；局限性；限制；局限性；限制；局限性；限制；局限性；限制；局限性；限制
limited	有限的；有限制的；有限的；有限制的；有限的；有限制的；有限的；有限制的；有限的
line	线；线条；行；排；路线；航线；线；线条；行；排；线；线条；行
link	连接；联系；纽带；环节；链接；连接；联系；纽带；环节；连接；联系；纽带
lip	嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇；嘴唇
list	表；目录；名单；清单；列出；把…编成目录；表；目录；名单；清单；表；目录；名单
listen	听；倾听；听；倾听；听；倾听；听；倾听；听；倾听；听；倾听
literally	字面上；逐字地；确实地；真正地；字面上；逐字地；确实地；字面上；逐字地；确实地；字面上
literary	文学的；文人的；文学的；文人的；文学的；文人的；文学的；文人的；文学的；文人的；文学的
literature	文学；文学作品；文献；文学；文学作品；文献；文学；文学作品；文献；文学；文学作品；文献；文学
little	小的；少的；不多的；小；少许；小的；少的；不多的；小；少许；小；少
live	生活；居住；生存；过活；活的；实况转播的；生活；居住；生存；生活；居住；生存
living	活的；活着的；生活；生计；活的；活着的；生活；生计；活的；活着的；生活；活的
load	负载；负荷；装载；装满；负荷；装载；负载；负荷；装载；负载；负荷；装载
loan	贷款；借款；借出；贷款；借款；借出；贷款；借款；借出；贷款；借款；借出；贷款
local	当地的；本地的；地方的；当地人；本地的；当地的；地方的；当地的；本地的；地方的；当地的
locate	找出；定位；位于；找出；定位；位于；找出；定位；位于；找出；定位；位于；找出
location	位置；地点；场所；位置；地点；场所；位置；地点；场所；位置；地点；场所；位置
lock	锁；锁住；锁上；锁；锁住；锁；锁住；锁；锁住；锁；锁住；锁
long	长的；长时间的；长久地；长期地；渴望；热望；长的；长时间的；长久地；长期地；长
long-term	长期的；长远的；长期的；长远的；长期的；长远的；长期的；长远的；长期的；长远的；长期的
look	看；看起来；注意；留神；脸色；样子；看；看起来；注意；看；看起来；脸色
loose	松的；宽松的；不牢固的；释放；放开；松的；宽松的；松的；宽松的；不牢固的；松的
lose	失去；丢失；输掉；失败；迷失；失去；丢失；输掉；失败；失去；丢失；输掉；失去
loss	丧失；损失；亏损；失败；丧失；损失；亏损；丧失；损失；亏损；丧失；损失；亏损
lost	失去的；丢失的；迷失的；丧失的；失去的；丢失的；迷失的；失去的；丢失的；迷失的；失去的
lot	许多；大量；抽签；命运；全部；全体；许多；大量；许多；大量；许多；大量
lots	许多；大量；许多；大量；许多；大量；许多；大量；许多；大量；许多；大量
loud	大声的；响亮的；大声地；响亮地；大声的；响亮的；大声地；响亮地；大声的；响亮的；大声的
love	爱；热爱；爱情；爱好；爱；热爱；爱情；爱；热爱；爱情；爱；热爱；爱
lovely	可爱的；美丽的；动人的；可爱的；美丽的；动人的；可爱的；美丽的；动人的；可爱的；美丽的
lover	爱人；情人；爱好者；爱人；情人；爱好者；爱人；情人；爱好者；爱人；情人；爱好者；爱人
low	低的；矮的；浅的；低；低的；矮的；浅的；低；低的；矮的；浅的；低
lower	较低的；下等的；较低的；下等的；降低；降下；较低的；下等的；降低；降下；较低的；降低
luck	运气；幸运；运气；幸运；运气；幸运；运气；幸运；运气；幸运；运气；幸运
lucky	幸运的；吉祥的；侥幸的；幸运的；吉祥的；侥幸的；幸运的；吉祥的；侥幸的；幸运的；吉祥的
lunch	午餐；午饭；午餐；午饭；午餐；午饭；午餐；午饭；午餐；午饭；午餐；午饭
lung	肺；肺脏；肺；肺脏；肺；肺脏；肺；肺脏；肺；肺脏；肺；肺脏
machine	机器；机械；用机器制造；用机器操作；机器；机械；机器；机械；机器；机械；机器
mad	疯的；疯狂的；狂热的；着迷的；生气的；愤怒的；疯的；疯狂的；狂热的；生气的；愤怒的；疯的
magazine	杂志；期刊；仓库；弹药库；杂志；期刊；杂志；期刊；杂志；期刊；杂志；期刊
mail	邮件；邮政；邮寄；邮件；邮政；邮寄；邮件；邮政；邮寄；邮件；邮政；邮寄；邮件
main	主要的；最重要的；总管道；干线；主要的；最重要的；主要的；最重要的；主要的；最重要的；主要的
mainly	主要地；大体上；主要地；大体上；主要地；大体上；主要地；大体上；主要地；大体上；主要地
maintain	维持；保持；保养；维护；坚持；主张；维持；保持；保养；维持；保持；保养；维持
maintenance	维持；保持；保养；维修；维持；保持；保养；维修；维持；保持；保养；维修；维持
major	主要的；重大的；主修；专业；少校；主要的；重大的；主修；专业；主要的；重大的；主要的
majority	多数；大多数；多数；大多数；多数；大多数；多数；大多数；多数；大多数；多数
make	制作；制造；使；使得；成为；变成；赚；挣；制作；制造；使；使得；成为；变成；做
maker	制造者；制造商；制造者；制造商；制造者；制造商；制造者；制造商；制造者；制造商；制造者
makeup	化妆品；组成；构成；虚构；捏造；化妆品；组成；构成；化妆品；组成；构成；化妆品；组成
male	男性的；雄性的；男人；雄性；男性的；雄性的；男人；雄性；男性的；雄性的；男人；雄性
mall	购物中心；商场；林荫路；购物中心；商场；购物中心；商场；购物中心；商场；购物中心；商场；购物中心
man	男人；人类；人；男人；人类；人；男人；人类；人；男人；人类；人；男人
manage	管理；经营；处理；设法做到；管理；经营；处理；管理；经营；处理；管理；经营；处理
management	管理；经营；管理人员；管理部门；管理；经营；管理人员；管理；经营；管理人员；管理；经营；管理人员
manager	经理；管理人；经纪人；经理；管理人；经纪人；经理；管理人；经纪人；经理；管理人；经纪人；经理
manner	方式；方法；态度；举止；礼貌；规矩；方式；方法；态度；举止；方式；方法；态度
manufacturer	制造商；生产商；制造商；生产商；制造商；生产商；制造商；生产商；制造商；生产商；制造商；生产商
manufacturing	制造业；制造；制造业；制造；制造业；制造；制造业；制造；制造业；制造；制造业；制造
many	许多的；多的；许多；多；许多的；多的；许多；多；许多的；多的；许多；多
map	地图；地图；绘制地图；地图；地图；绘制地图；地图；地图；绘制地图；地图；地图；绘制地图
margin	边缘；页边空白；利润；差数；余地；边缘；页边空白；利润；边缘；页边空白；利润；边缘
mark	标记；记号；分数；痕迹；作标记；标明；标记；记号；分数；标记；记号；分数；标记
market	市场；集市；销路；销售；推销；市场；集市；销路；市场；集市；销路；市场
marketing	营销；市场营销；市场学；营销；市场营销；营销；市场营销；营销；市场营销；营销；市场营销
marriage	婚姻；结婚；婚姻；结婚；婚姻；结婚；婚姻；结婚；婚姻；结婚；婚姻；结婚
married	已婚的；结婚的；已婚的；结婚的；已婚的；结婚的；已婚的；结婚的；已婚的；结婚的；已婚的
marry	结婚；嫁娶；结婚；嫁娶；结婚；嫁娶；结婚；嫁娶；结婚；嫁娶；结婚；嫁娶
mask	面具；面罩；口罩；掩盖；掩饰；面具；面罩；口罩；掩盖；面具；面罩；口罩；面具
mass	大量；众多；团；块；群众；民众；大量的；群众的；大量；众多；团；块；大量；众多
massive	大量的；巨大的；大规模的；大量的；巨大的；大规模的；大量的；巨大的；大规模的；大量的；巨大的
master	主人；雇主；大师；师傅；硕士；掌握；精通；主人；雇主；大师；师傅；主人；雇主；大师
match	比赛；竞赛；火柴；匹配；配对；比赛；竞赛；匹配；配对；比赛；竞赛；火柴；匹配
material	材料；原料；物质；材料的；物质的；重要的；材料；原料；物质；材料；原料；物质；材料
math	数学；数学；数学；数学；数学；数学；数学；数学；数学；数学；数学
matter	事情；问题；物质；要紧；有关系；事情；问题；物质；事情；问题；物质；事情；问题
may	可以；可能；也许；祝；愿；五月；可以；可能；也许；可以；可能；也许；可以；可能
maybe	大概；或许；可能；大概；或许；可能；大概；或许；可能；大概；或许；可能；大概；或许
mayor	市长；市长；市长；市长；市长；市长；市长；市长；市长；市长；市长
me	我；我；我；我；我；我；我；我；我；我；我
meal	一餐；一顿饭；膳食；一餐；一顿饭；膳食；一餐；一顿饭；膳食；一餐；一顿饭；膳食；一餐
mean	意思是；意味着；打算；意欲；卑鄙的；吝啬的；平均的；中间；平均值；意思是；意味着；打算
meaning	意思；意义；含义；重要性；意思；意义；含义；意思；意义；含义；意思；意义；含义
meanwhile	同时；与此同时；同时；与此同时；同时；与此同时；同时；与此同时；同时；与此同时；同时；与此同时
measure	测量；度量；衡量；措施；方法；程度；测量；度量；衡量；测量；度量；衡量；测量
measurement	测量；度量；尺寸；测量；度量；尺寸；测量；度量；尺寸；测量；度量；尺寸；测量；度量
meat	肉；肉类；肉；肉类；肉；肉类；肉；肉类；肉；肉类；肉；肉类
mechanism	机制；原理；机械装置；机制；原理；机械装置；机制；原理；机械装置；机制；原理；机械装置；机制
media	媒体；媒介；传播媒介；媒体；媒介；传播媒介；媒体；媒介；传播媒介；媒体；媒介；传播媒介；媒体
medical	医学的；医疗的；内科的；医学的；医疗的；医学的；医疗的；医学的；医疗的；医学的
medication	药物；药物治疗；药物；药物治疗；药物；药物治疗；药物；药物治疗；药物；药物治疗；药物
medicine	药；医学；药；医学；药；医学；药；医学；药；医学；药；医学
medium	中等的；中间的；媒介；手段；媒体；介质；中等的；中间的；媒介；手段；中等的；中间的；媒介
meet	遇见；碰到；会见；满足；迎接；遇见；碰到；会见；满足；遇见；碰到；会见；遇见
meeting	会议；集会；会面；会议；集会；会面；会议；集会；会面；会议；集会；会面；会议
member	成员；会员；成员；会员；成员；会员；成员；会员；成员；会员；成员；会员
membership	会员资格；成员身份；会员资格；成员身份；会员资格；成员身份；会员资格；成员身份；会员资格；成员身份；会员资格
memory	记忆；记忆力；回忆；记忆；记忆力；回忆；记忆；记忆力；回忆；记忆；记忆力；回忆；记忆
mental	精神的；心理的；智力的；精神的；心理的；智力的；精神的；心理的；智力的；精神的；心理的；精神的
mention	提到；说起；提及；提到；说起；提及；提到；说起；提及；提到；说起；提及；提到；说起
menu	菜单；菜单；菜单；菜单；菜单；菜单；菜单；菜单；菜单；菜单；菜单
mere	仅仅的；只不过的；纯粹的；仅仅的；只不过的；纯粹的；仅仅的；只不过的；纯粹的；仅仅的；只不过的；仅仅的
merely	仅仅；只不过；仅仅；只不过；仅仅；只不过；仅仅；只不过；仅仅；只不过；仅仅；只不过
mess	混乱；杂乱；脏乱；弄乱；搞糟；混乱；杂乱；脏乱；混乱；杂乱；脏乱；混乱；杂乱
message	消息；信息；便条；留言；消息；信息；便条；留言；消息；信息；便条；留言；消息；信息
metal	金属；金属的；金属；金属的；金属；金属的；金属；金属的；金属；金属的；金属
meter	米；公尺；表；仪表；米；公尺；表；仪表；米；公尺；表；仪表；米；公尺；表
method	方法；办法；方法；办法；方法；办法；方法；办法；方法；办法；方法；办法
Mexican	墨西哥的；墨西哥人的；墨西哥人；墨西哥语；墨西哥的；墨西哥人的；墨西哥人；墨西哥的；墨西哥人的；墨西哥人
middle	中间的；中部的；中间；中部；当中；中间的；中部的；中间；中部；中间的；中部的；中间
might	可能；也许；可以；might；可能；也许；可以；可能；也许；可以；可能；也许；可以；可能
military	军事的；军队的；军人；军队；武装力量；军事的；军队的；军事的；军队的；军事的；军队的；军事的
milk	牛奶；乳；挤奶；牛奶；乳；挤奶；牛奶；乳；挤奶；牛奶；乳；挤奶；牛奶
million	百万；百万；百万；百万；百万；百万；百万；百万；百万；百万；百万
mind	头脑；精神；心思；想法；注意；介意；当心；头脑；精神；心思；想法；注意；介意
mine	矿；矿山；地雷；我的；矿；矿山；地雷；我的；矿；矿山；地雷；我的；矿；矿山；我的
minister	部长；大臣；牧师；部长；大臣；牧师；部长；大臣；牧师；部长；大臣；牧师；部长；大臣
minor	较小的；次要的；未成年的；未成年人；辅修科目；较小的；次要的；未成年的；较小的；次要的
minority	少数；少数民族；少数派；少数；少数民族；少数派；少数；少数民族；少数派；少数；少数民族；少数
minute	分钟；片刻；一会儿；微小的；细致的；分钟；片刻；微小的；细致的；分钟；片刻；一会儿
miracle	奇迹；奇事；奇迹；奇事；奇迹；奇事；奇迹；奇事；奇迹；奇事；奇迹；奇事
mirror	镜子；反映；反射；镜子；反映；反射；镜子；反映；反射；镜子；反映；反射；镜子
miss	想念；思念；错过；未击中；小姐；想念；思念；错过；未击中；想念；思念；错过；想念
missile	导弹；投射物；导弹；投射物；导弹；投射物；导弹；投射物；导弹；投射物；导弹
mission	使命；任务；使团；代表团；使命；任务；使团；使命；任务；使团；使命；任务；使团；使命
mistake	错误；过失；误解；弄错；误解；错误；过失；误解；错误；过失；误解；错误
mix	混合；搀和；混淆；混合；混合物；混合；搀和；混淆；混合；搀和；混合；搀和
mixture	混合；混合物；混合；混合物；混合；混合物；混合；混合物；混合；混合物；混合；混合物
mm-hmm	嗯；哼；嗯；哼；嗯；哼；嗯；哼；嗯；哼；嗯；哼
mode	方式；模式；样式；方式；模式；样式；方式；模式；样式；方式；模式；样式；方式；模式
model	模型；模特儿；模范；典型；模式；模型；模特儿；模范；典型；模型；模特儿；模范
moderate	中等的；适度的；温和的；适中的；中等的；适度的；温和的；中等的；适度的；温和的；中等的
modern	现代的；近代的；新式的；现代的；近代的；新式的；现代的；近代的；新式的；现代的；近代的；现代的
modest	谦虚的；适度的；朴素的；谦虚的；适度的；朴素的；谦虚的；适度的；朴素的；谦虚的；适度的；谦虚的
mom	妈妈；妈妈；妈妈；妈妈；妈妈；妈妈；妈妈；妈妈；妈妈；妈妈；妈妈
moment	片刻；瞬间；时刻；时候；片刻；瞬间；时刻；时候；片刻；瞬间；时刻；时候；片刻；瞬间
money	钱；货币；金钱；钱；货币；金钱；钱；货币；金钱；钱；货币；金钱；钱
monitor	监视器；显示器；监控器；监视；监控；监视器；显示器；监视；监控；监视器；显示器；监视；监控
month	月；月份；月；月份；月；月份；月；月份；月；月份；月；月份
mood	心情；情绪；语气；心情；情绪；语气；心情；情绪；语气；心情；情绪；语气；心情；情绪
